Date,Price,Open,High,Low,Vol.,Change %
9/3/2018,"28,509.00","28,700.40","29,083.00","28,317.70",2.85M,0.13%
8/3/2018,"28,470.80","28,700.40","29,083.00","28,317.70",1.42M,-0.80%
7/3/2018,"28,700.40","29,083.00","29,159.60","28,241.20",2.58M,-0.40%
6/3/2018,"28,815.20","27,552.40","28,815.20","27,131.40",3.18M,6.96%
5/3/2018,"26,940.10","29,274.40","29,389.20","26,940.10",3.26M,-6.88%
2/3/2018,"28,930.00","28,317.70","29,083.00","28,241.20",2.99M,0.00%
1/3/2018,"28,930.00","29,542.20","30,307.60","28,700.40",3.31M,-3.08%
28/02/2018,"29,848.40","29,006.50","30,231.10","28,815.20",5.69M,2.23%
27/02/2018,"29,197.80","29,159.60","29,695.30","28,776.90",2.79M,0.13%
26/02/2018,"29,159.60","29,006.50","29,657.10","28,623.80",4.42M,2.70%
23/02/2018,"28,394.20","28,317.70","28,700.40","27,475.80",4.56M,0.82%
22/02/2018,"28,164.60","28,317.70","29,542.20","28,126.40",3.59M,-1.60%
21/02/2018,"28,623.80","27,552.40","28,968.20","27,246.20",2.69M,5.65%
13/02/2018,"27,093.20","27,858.50","27,935.00","26,787.00",3.09M,2.46%
12/2/2018,"26,442.60","25,256.30","26,442.60","24,873.70",2.97M,6.97%
9/2/2018,"24,720.60","22,960.30","25,256.30","22,922.00",2.26M,0.31%
8/2/2018,"24,644.10","23,878.70","25,103.30","23,878.70",2.57M,3.21%
7/2/2018,"23,878.70","23,878.70","23,878.70","22,960.30",2.59M,6.85%
6/2/2018,"22,348.00","22,348.00","23,572.60","22,348.00",4.17M,-6.86%
5/2/2018,"23,993.50","25,409.40","25,562.50","23,993.50",3.51M,-6.97%
2/2/2018,"25,792.10","25,485.90","26,251.30","25,332.90",2.23M,0.00%
1/2/2018,"25,792.10","26,404.30","26,442.60","25,179.80",2.38M,-1.46%
31/01/2018,"26,174.70","28,470.80","28,509.00","26,174.70",2.21M,-5.00%
30/01/2018,"27,552.40","25,141.50","27,552.40","25,141.50",4.13M,4.05%
29/01/2018,"26,480.90","25,256.30","26,595.70","25,256.30",5.53M,6.46%
26/01/2018,"24,873.70","24,873.70","24,873.70","24,108.30",7.14M,6.91%
25/01/2018,"23,266.40","22,271.50","23,266.40","22,041.90",10.04M,6.85%
22/01/2018,"21,774.00","20,587.70","21,888.80","20,549.50",6.34M,5.76%
19/01/2018,"20,587.70","20,817.30","20,893.90","20,358.10",4.47M,-0.74%
18/01/2018,"20,740.80","20,358.10","20,740.80","20,128.50",2.31M,0.37%
17/01/2018,"20,664.30","21,200.00","21,506.10","20,664.30",3.58M,-2.53%
16/01/2018,"21,200.00","20,932.10","21,353.10","20,855.60",2.98M,1.47%
15/01/2018,"20,893.90","20,702.50","21,200.00","20,472.90",2.25M,0.18%
12/1/2018,"20,855.60","20,817.30","21,085.20","20,740.80",3.13M,-1.27%
11/1/2018,"21,123.50","21,046.90","21,238.30","20,779.10",1.97M,0.55%
10/1/2018,"21,008.70","20,970.40","21,620.90","20,893.90",3.54M,0.18%
9/1/2018,"20,970.40","21,314.80","21,391.30","19,898.90",5.30M,-1.62%
8/1/2018,"21,314.80","21,200.00","21,582.70","20,970.40",2.58M,1.64%
5/1/2018,"20,970.40","21,046.90","21,085.20","20,626.00",2.40M,-0.54%
4/1/2018,"21,085.20","20,511.20","21,200.00","20,319.90",5.56M,2.80%
3/1/2018,"20,511.20","20,664.30","20,702.50","20,281.60",3.09M,-0.74%
2/1/2018,"20,664.30","19,516.30","20,664.30","19,286.70",3.65M,5.88%
29/12/2017,"19,516.30","19,171.80","19,516.30","18,942.20",3.26M,3.03%
28/12/2017,"18,942.20","18,674.40","19,210.10","18,674.40",1.74M,1.43%
